"class","UC1","UC2","UC3","UC4","UC5","UC6","UC8","UC9","UC10","UC11","UC12","UC13","UC15","UC16","UC17","UC18","UC19","UC21","UC23","UC24","UC25","UC26","UC27","UC28","UC29","UC30","UC31","UC32","UC33","UC34","UC35","UC36","UC37","UC38"
"ViewMyReportRequestsAction::getReportRequest","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"ViewReportAction::getProcedures","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"PatientDAO::declareHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getCurrentPrescriptions","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getImmunizations","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"OfficeVisitDAO::removeLabProcedureFromOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getPatientName","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"SurveyResultDAO::getSurveyResultsForHospital","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","",""
"SessionTimeoutListener::sessionCreated","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AdverseEventDAO::getHCPMID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"SecurityQAValidator::validate","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PersonnelDAO::getAllPersonnel","","","","","","x","","","","","","","","","","","","x","","","","","","","","","x","","x","","","","",""
"EmailUtil::sendEmail","","","x","x","","","","","","","","","","","","","x","x","","","","","x","","","x","","","","","x","x","x",""
"LabProcedureDAO::updateLabProcedure","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"OfficeVisitDAO::addLabProcedureToOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"viewExpiredPrescriptionRecords_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","",""
"PatientDAO::getPatient","","","","","","","","","","","","","","","","","","x","x","","","x","","x","x","","x","","x","x","","","x",""
"ViewMyRecordsAction::getRepresenting","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"PersonnelDAO::getName","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"ViewMyReportRequestsAction::getAllReportRequestsForRequester","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"NDCodesDAO::addNDCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::isAllergyOnList","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x",""
"EditPersonnelAction::updateInformation","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::hasInteraction","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x",""
"resetPassword_jsp::_jspService","","","x","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"PatientValidator::validate","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"getPrescriptionReport_jsp::_jspService","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"ResetPasswordAction::checkMID","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICDCodesDAO::updateCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"SurveyAction::addSurvey","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","",""
"ViewMyRemoteMonitoringListAction::getPatientDataByDate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"SurveyResultDAO::getSurveyResultsForZip","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","",""
"LabProcedureDAO::getLabProceduresForLHCPForNextMonth","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EditPatientAction::getPid","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"EditOfficeVisitAction::updateOv","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"getPatientMonitorList_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"getUser_jsp::_jspService","","","","","","","","","x","x","","x","","","","","x","x","x","","","x","","","","x","","","","x","","","",""
"ReportRequestDAO::getReportRequest","","","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"PatientDAO::searchForPatientsWithName","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewVisitedHCPsAction::declareHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MyDiagnosisAction::getDiagnoses","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"ViewPrescriptionRecordsAction::getPrescriptionsForPatient","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","x","","",""
"ViewMyRecordsAction::getLabs","","","","","","","","x","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"UpdateCPTCodeListAction::addCPTCOde","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"Type1DiabetesRisks::getDiseaseRiskFactors","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"editBasicHealth_jsp::_jspService","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"PatientDAO::addRepresentative","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","",""
"RemoteMonitoringDAO::addPatientToList","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"ICDCodesDAO::getAllICDCodes","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"DrugInteractionDAO::deleteInteraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x"
"OfficeVisitDAO::addPrescription","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getBloodType","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"PatientDAO::addEmptyPatient","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AuthDAO::setSecurityQuestionAnswer","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewMyRecordsAction::getReportRequests","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"EditPHRAction::getFamily","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"FamilyDAO::getSiblings","","","","","","","","x","x","","","","","","","","","","x","","","","","","","","","","","","","","",""
"OfficeVisitDAO::getAllOfficeVisitsForLHCP","","","x","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","",""
"AuthDAO::recordResetPasswordFailure","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AdverseEventDAO::removeReport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"PatientDAO::getRenewalNeedsPatients","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","",""
"OfficeVisitDAO::removePrescription","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::getOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"ResetPasswordAction::getSecurityQuestion","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TransactionDAO::logTransaction","x","x","","x","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"viewAdditionalInfo_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"AddPersonnelValidator::validate","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewRequestsAction::getAllReportRequestsForRequester","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::sendEmail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"UpdateICDCodeListAction::addICDCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"MyDiagnosisAction::getHCPByDiagnosis","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"ReportRequestDAO::addReportRequest","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"ResetPasswordAction::checkRole","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PatientDAO::getPrescriptions","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","x","","",""
"surveyResults_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","",""
"ViewMyRecordsAction::getAllHealthRecords","","","","","","","","x","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"ChronicDiseaseRiskAction::getDiseasesAtRisk","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"HealthRecordsDAO::getAllHealthRecords","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"AdverseEventDAO::getPerscriptions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"monitorPatients_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"EditMonitoringListAction::addToList","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"ViewReportRequestsAction::getLongStatus","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"ViewExpiredPrescriptionsAction::getPrescriptionsForPatient","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","",""
"EditHealthHistoryAction::getPatientName","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"AddPatientAction::addPatient","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AccessDAO::setSessionTimeoutMins","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewReportAction::getDiagnoses","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"DiagnosisBeanValidator::validate","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"EditRepresentativesAction::addRepresentative","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","",""
"EditPatientAction::updateInformation","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chronicDiseaseRisks_jsp::_jspService","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"ReportAdverseEventAction::addReport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",""
"AuthDAO::getUserName","","","","","","","","","x","x","","x","","","","","x","x","x","","","x","","","","x","","","","x","","","",""
"DrugInteractionAction::reportInteraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x"
"DrugInteractionDAO::reportInteraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x"
"ReferralManagementAction::getReferralsSentToMe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"RemoteMonitoringDAO::storePatientData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"UpdateLOINCListAction::updateInformation","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"RemoteMonitoringDAO::getPatientDataByDate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"ReferralManagementAction::sendReferral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"LabProcHCP_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"PatientDAO::getPatientName","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",""
"LabProcedureDAO::getLabProceduresForPatient","","","","","","","","x","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"EditRepresentativesAction::getRepresented","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"ViewMyRecordsAction::getAllOfficeVisits","","","","","","","","x","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"PatientDAO::getCurrentPrescriptions","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","",""
"viewLHCP_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","",""
"OfficeVisitDAO::getPrescriptionReportsByDate","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x",""
"FamilyDAO::getParents","","","","","","","","x","x","","","","","","","","","","x","","","","","","","","","","","","","","",""
"viewMyRecords_jsp::_jspService","","","","","","","","x","","","","","","","","","","","","","","x","","","","","","","","","x","","",""
"TransactionDAO::getOperationalProfile","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","",""
"addTelemedicineData_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"viewMyReportRequests_jsp::_jspService","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"UpdateICDCodeListAction::updateInformation","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"ViewMyRemoteMonitoringListAction::getPatientName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"editICDCodes_jsp::_jspService","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"ViewMyRecordsAction::getAllergies","","","","","","","","x","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"MedicationBeanValidator::validate","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"viewAccessLog_jsp::_jspService","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LabProcUAPAction::updateProcedure","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","",""
"AddUAPAction::add","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewMyReportRequestsAction::getLongStatus","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LOINCDAO::getAllLOINC","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"ViewSurveyResultAction::getSurveyResultsForHospital","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","",""
"ReportAdverseEventAction::sendMails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",""
"ReferralDAO::addReferral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"SearchUsersAction::searchForPatientsWithName","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OfficeVisitDAO::removeDiagnosisFromOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"ReportAdverseEventAction::sendMail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",""
"myDiagnoses_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"AuthDAO::addUser","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FamilyDAO::getChildren","","","","","","","","","x","","","","","","","","","","x","","","","","","","","","","","","","","",""
"GetVisitRemindersAction::getVisitReminders","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"GetVisitRemindersAction::checkImmunization","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"PatientDAO::getExpiredPrescriptions","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","",""
"ViewReportAction::getDeclaredHCPs","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"LOINCDAO::update","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"LabProcHCPAction::getLabProcForNextMonth","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OfficeVisitDAO::addDiagnosisToOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"ReferralManagementAction::getReferralsSentFromMe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"ViewMyRemoteMonitoringListAction::getPatientsData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"hcpConsultation_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"sessionTimeout_jsp::_jspService","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AuthDAO::getUserRole","","","x","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::checkAddSubAction","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewMyRecordsAction::getPatient","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::checkAddPrescription","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"VisitRemindersDAO::getFluShotDelinquents","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","",""
"UpdateNDCodeListAction::updateInformation","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"ViewMyRecordsAction::getCompleteOfficeVisit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",""
"HospitalsDAO::updateHospital","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"ViewSurveyResultAction::getSurveyResultsForZip","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","",""
"ICDCodesDAO::addICDCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"ViewMyMessagesAction::getAllMyMessages","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",""
"editOfficeVisit_jsp::_jspService","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x",""
"LabProcedureDAO::getLabProceduresForPatientForNextMonth","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"LabProcUAPAction::viewProcedures","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"Type2DiabetesRisks::getDiseaseRiskFactors","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"DeclareHCPAction::undeclareHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDCodesDAO::updateCode","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"AddHCPAction::add","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AdverseEventDAO::addReport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",""
"PatientDAO::editPatient","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"viewVisitedHCPs_jsp::_jspService","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addHCP_jsp::_jspService","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UpdateLOINCListAction::add","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getPatientAge","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"editNDCInteractions_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x"
"DeclareHCPAction::declareHCP","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TransactionDAO::getRecordAccess","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"addPatient_jsp::_jspService","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"emergencyReport_jsp::_jspService","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"ReferralDAO::editReferral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"MessageDAO::addMessage","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","",""
"EditPHRAction::updateAllergies","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"PatientDAO::removeRepresentative","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","",""
"EditOfficeVisitAction::checkRemoveSubAction","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"EmergencyReportAction::getPatientEmergencyContacts","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"PatientDAO::getAllPatients","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"PatientDAO::getDiagnoses","","","","","","","","","","","","","","","","","","x","x","","","","","","x","","","","","","","","",""
"SurveyDAO::addCompletedSurvey","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","",""
"viewMyMessages_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",""
"updateLabProc_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","",""
"PersonnelValidator::validate","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PatientDAO::getName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","",""
"ReferralDAO::getReferralsSentTo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",""
"ViewVisitedHCPsAction::filterHCPList","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PatientDAO::getImmunizationProcedures","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"EmergecnyReportAction::getWarningDiagnoses","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","",""
"EditMonitoringListAction::getPatientName","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","",""
"reportAdverseEvent_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",""
"NDCodesDAO::getAllNDCodes","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"DrugInteractionAction::deleteInteraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x"
"viewPrescriptionRenewalNeeds_jsp::_jspService","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","",""
"EditHealthHistoryAction::getAllHealthRecords","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",""
"OfficeVisitDAO::removeProcedureFromOfficeVisit","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"AuthDAO::resetPassword","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewMyAccessLogAction::getAccesses","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PersonnelDAO::editPersonnel","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"viewReport_jsp::_jspService","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"HospitalBeanValidator::validate","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"UpdateHospitalListAction::updateHospital","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","",""
"PatientDAO::getRepresenting","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","x","","","",""
"PatientDAO::getDeclaredHCPs","","","","","","x","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"GetUserNameAction::getUserName","","","","","","","","","x","x","","x","","","","","x","x","x","","","x","","","","x","","","","x","","","",""
"MessageDAO::getMessagesFor","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",""
"editCPTProcedureCodes_jsp::_jspService","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
"TransactionDAO::getAllRecordAccesses","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPTCodesDAO::getAllCPTCodes","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","",""
